date,rets,rv,bv
2015-03-10,5.893092289353383e-5,8.635940511390968e-5,4.472330731832468e-5
2015-03-11,1.8678687841667375e-5,2.9501788852231432e-5,3.6948209679343935e-5
2015-03-12,3.4420517159999545e-6,5.2043677000335616e-5,2.0782531274353383e-5
2015-03-13,3.1902569351985534e-5,5.608150245863559e-5,5.645615408105721e-5
2015-03-16,3.7484525705262576e-6,3.221014442590316e-5,1.9561770682760913e-5
2015-03-17,2.669767590669113e-5,3.082794617560028e-5,2.1297497596977077e-5
2015-03-18,1.9546318692357686e-5,0.0001406340782763925,7.405776437513063e-5
2015-03-19,1.965870773460916e-5,3.1623746986426536e-5,2.2895409875876105e-5
2015-03-20,6.086820744483977e-6,4.740177916006187e-5,1.3404363145117893e-5
2015-03-23,8.130281640919272e-6,1.4881822727944083e-5,1.3226608721330668e-5
2015-03-24,1.3097740624583743e-5,2.225665250889279e-5,1.9375056043988596e-5
2015-03-25,3.578157268050188e-5,4.981118783326451e-5,4.9064699769803257e-5
2015-03-26,4.882186000644959e-5,6.265091731613007e-5,5.3073879287681936e-5
2015-03-27,1.552812452272614e-5,2.2918200670973443e-5,3.2985341286409456e-5
2015-03-30,3.759496158336402e-6,6.14797830654306e-5,2.2654924825427835e-5
2015-03-31,3.166713658426202e-5,3.439966963016579e-5,3.26625646742778e-5
2015-04-01,3.434715747889733e-5,6.817926305586217e-5,5.681130421185698e-5
2015-04-02,8.492431810467658e-6,3.092028802191457e-5,2.6200602118346247e-5
2015-04-06,1.1516662525631217e-5,2.9096737224947245e-5,2.5531972273658177e-5
2015-04-07,1.0133078887520703e-5,1.9986786914134238e-5,1.2688346485015137e-5
2015-04-08,2.180429192658827e-5,6.337150335209719e-5,4.924553125307618e-5
2015-04-09,1.4061340239924342e-5,2.9458333013143423e-5,2.4018856825779706e-5
2015-04-10,2.188078782267053e-6,7.487864543587427e-6,6.843869245318196e-6
2015-04-13,6.939502884312446e-6,1.343535299682466e-5,1.1774113848628298e-5
2015-04-14,1.1779054430869089e-5,2.7085548348402816e-5,2.1328492719313554e-5
2015-04-15,5.5291595633036845e-6,2.8903553852765114e-5,1.4585144179188057e-5
2015-04-16,9.551541934463736e-6,1.58377500040234e-5,1.52970387126515e-5
2015-04-17,4.6498853071119754e-5,5.7291533249343144e-5,2.8142251722662912e-5
2015-04-20,3.6928891432775786e-6,3.888000694602798e-5,1.1194015265236422e-5
2015-04-21,1.0169218394906579e-5,1.55087825402263e-5,1.8654178932817566e-5
